pattern_id,pattern_name,frequency,description
346,Adobe->PayPal,1,Observed transition path: Adobe->PayPal
347,Birdeye->PayPal,1,Observed transition path: Birdeye->PayPal
348,BambooBox->PayPal,1,Observed transition path: BambooBox->PayPal
349,Zoho Corporation->PayPal,1,Observed transition path: Zoho Corporation->PayPal
350,ZoomRx->PayPal,1,Observed transition path: ZoomRx->PayPal
351,Flipkart->PayPal,1,Observed transition path: Flipkart->PayPal
352,Fidelity Investments->PayPal,1,Observed transition path: Fidelity Investments->PayPal
353,JPMorgan Chase & Co.->PayPal,1,Observed transition path: JPMorgan Chase & Co.->PayPal
354,M2P Fintech->PayPal,1,Observed transition path: M2P Fintech->PayPal
355,The Sparks Foundation->PayPal,1,Observed transition path: The Sparks Foundation->PayPal
356,Telstra->PayPal,1,Observed transition path: Telstra->PayPal
357,Talentica Software->PayPal,1,Observed transition path: Talentica Software->PayPal
358,Ford Motor Company->PayPal,1,Observed transition path: Ford Motor Company->PayPal
359,TVS Motor Company->PayPal,1,Observed transition path: TVS Motor Company->PayPal
360,disputes against adversely rated merchants worldwide.->PayPal,1,Observed transition path: disputes against adversely rated merchants worldwide.->PayPal
361,Ather Energy->PayPal,1,Observed transition path: Ather Energy->PayPal
362,Wells Fargo->PayPal,1,Observed transition path: Wells Fargo->PayPal
363,FactSet->Salesforce,1,Observed transition path: FactSet->Salesforce
364,Deloitte->TCS,1,Observed transition path: Deloitte->TCS
365,Codingal->TCS,1,Observed transition path: Codingal->TCS
366,business including Native brand->Urban Company,1,Observed transition path: business including Native brand->Urban Company
367,Swiggy->slice,1,Observed transition path: Swiggy->slice
368,Swiggy->Instamart,1,Observed transition path: Swiggy->Instamart
369,Razorpay->Swiggy,1,Observed transition path: Razorpay->Swiggy
370,Swiggy->Groww,1,Observed transition path: Swiggy->Groww
371,Swiggy->Kredivo Group,1,Observed transition path: Swiggy->Kredivo Group
372,LocoNav->Swiggy,1,Observed transition path: LocoNav->Swiggy
373,Illumine Knowledge Resources->Swiggy,1,Observed transition path: Illumine Knowledge Resources->Swiggy
374,Walmart Global Tech India->Swiggy,1,Observed transition path: Walmart Global Tech India->Swiggy
375,Gravitas AI->Swiggy,1,Observed transition path: Gravitas AI->Swiggy
376,Paytm Insurance Broking->Swiggy,1,Observed transition path: Paytm Insurance Broking->Swiggy
377,Onelab Ventures->Swiggy,1,Observed transition path: Onelab Ventures->Swiggy
378,Appening - App Development Company->Lumel,1,Observed transition path: Appening - App Development Company->Lumel
379,INDmoney->Urban Company,1,Observed transition path: INDmoney->Urban Company
380,verification for agent communications.->Swiggy,1,Observed transition path: verification for agent communications.->Swiggy
381,GE Aerospace->Swiggy,1,Observed transition path: GE Aerospace->Swiggy
382,Swiggy->Thinkify Labs,1,Observed transition path: Swiggy->Thinkify Labs
383,IBM->Swiggy,1,Observed transition path: IBM->Swiggy
384,Fyre Gig->Swiggy,1,Observed transition path: Fyre Gig->Swiggy
385,JFrog->Swiggy,1,Observed transition path: JFrog->Swiggy
386,Thinkify Labs->Swiggy,1,Observed transition path: Thinkify Labs->Swiggy
387,JPMorganChase->Swiggy,1,Observed transition path: JPMorganChase->Swiggy
388,IONAGE->Swiggy,1,Observed transition path: IONAGE->Swiggy
389,Swiggy->Recro,1,Observed transition path: Swiggy->Recro
390,HPE Aruba Networking->Swiggy,1,Observed transition path: HPE Aruba Networking->Swiggy
391,MobileFirst Applications | Fintegration->Swiggy,1,Observed transition path: MobileFirst Applications | Fintegration->Swiggy
392,offer related services.->Swiggy,1,Observed transition path: offer related services.->Swiggy
393,Apxor->Swiggy,1,Observed transition path: Apxor->Swiggy
394,Unizap->Swiggy,1,Observed transition path: Unizap->Swiggy
395,Swiggy->Mindtickle,1,Observed transition path: Swiggy->Mindtickle
396,Mobishaala->Swiggy,1,Observed transition path: Mobishaala->Swiggy
397,Turvo Inc.->Swiggy,1,Observed transition path: Turvo Inc.->Swiggy
398,TCS->Swiggy,1,Observed transition path: TCS->Swiggy
399,Campus->Google,1,Observed transition path: Campus->Google
400,Swiggy->Oracle,1,Observed transition path: Swiggy->Oracle
401,Jaipur->NAV India,1,Observed transition path: Jaipur->NAV India
402,LYNKS LOGISTICS LIMITED->Swiggy,1,Observed transition path: LYNKS LOGISTICS LIMITED->Swiggy
403,"AJAY KUMAR GARG ENGINEERING COLLEGE, GHAZIABAD->Swiggy",1,"Observed transition path: AJAY KUMAR GARG ENGINEERING COLLEGE, GHAZIABAD->Swiggy"
404,Swiggy->Dezerv,1,Observed transition path: Swiggy->Dezerv
405,GroundTruth->Swiggy,1,Observed transition path: GroundTruth->Swiggy
406,BetterPlace->Google,1,Observed transition path: BetterPlace->Google
407,Swiggy->Truemeds,1,Observed transition path: Swiggy->Truemeds
408,GoTo Group->Stader Labs,1,Observed transition path: GoTo Group->Stader Labs
409,KNNX Corp->Swiggy,1,Observed transition path: KNNX Corp->Swiggy
410,Navyug Infosolutions Pvt. Ltd.->Swiggy,1,Observed transition path: Navyug Infosolutions Pvt. Ltd.->Swiggy
411,Infra.Market->Swiggy,1,Observed transition path: Infra.Market->Swiggy
412,NEC Corporation India Pvt Ltd.->Swiggy,1,Observed transition path: NEC Corporation India Pvt Ltd.->Swiggy
413,Pangea Tech->Swiggy,1,Observed transition path: Pangea Tech->Swiggy
414,IIT->Swiggy,1,IIT graduates joining Swiggy
415,IIIT->Microsoft,1,IIIT graduates joining Microsoft
416,IIIT->slice,1,IIIT graduates joining slice
417,IIIT->Swiggy,1,IIIT graduates joining Swiggy
